title,atu,culture,author,source_page,sources,n_sources
PADRE VINCENZO.,,Italian,italian_busk_en,,italian_harvested,1
PALOMBELLETTA.1,,Italian,italian_busk_en,,italian_harvested,1
THE PARDON OF ASISI.1,,Italian,italian_busk_en,,italian_harvested,1
THE PARISH PRIEST OF SAN MARCUOLA.,,Italian,italian_crane_en,,italian_harvested,1
THE PARROT (First Version).,,Italian,italian_crane_en,,italian_harvested,1
THE PARROT. (Second Version.),,Italian,italian_crane_en,,italian_harvested,1
THE PARROT WHICH TELLS THREE STORIES.,,Italian,italian_crane_en,,italian_harvested,1
PARSLEY,,Italian,italian_basile_en,,italian_harvested,1
Parsley [Petrosinella],310,Italy,,type0310.html,catalogue_italian_ashliman,1
PASQUINO.1,,Italian,italian_busk_en,,italian_harvested,1
THE PEASANT AND THE MASTER.,,Italian,italian_crane_en,,italian_harvested,1
THE PENANCE OF SAN GIULIANO.,,Italian,italian_busk_en,,italian_harvested,1
Peruonto,,Italian (Neapolitan),Basile,,italian_harvested|italian_wikipedia,2
PETER FULLONE AND THE EGG.,,Italian,italian_crane_en,,italian_harvested,1
PIETRO BAILLIARDO.1,,Italian,italian_busk_en,,italian_harvested,1
PILATE.,,Italian,italian_crane_en,,italian_harvested,1
THE PILGRIMS.,,Italian,italian_busk_en,,italian_harvested,1
PINTOSMALTO,,Italian,italian_basile_en,,italian_harvested,1
PIPPO,,Italian,italian_basile_en,,italian_harvested,1
PITIDDA.,,Italian,italian_crane_en,,italian_harvested,1
The Plague Column in Auer,7080,Italy,,type7080.html,catalogue_italian_ashliman,1
A Poor Mariner of Gaeta,1362,"Italy, Poggio Bracciolini",,type1362.html,catalogue_italian_ashliman,1
‘POPE JOAN.’,,Italian,italian_busk_en,,italian_harvested,1
THE POT OF MARJORAM.1,,Italian,italian_busk_en,,italian_harvested,1
THE POT OF RUE.1,,Italian,italian_busk_en,,italian_harvested,1
THE PRINCESS AND THE GENTLEMAN.,,Italian,italian_busk_en,,italian_harvested,1
THE PROCESSION OF VELLETRI.,,Italian,italian_busk_en,,italian_harvested,1
Prunella,310,Italy,,type0310.html,catalogue_italian_ashliman,1
THE QUEEN AND THE TRIPE-SELLER.1,,Italian,italian_busk_en,,italian_harvested,1
THE RAVEN,,Italian,italian_basile_en,,italian_harvested,1
THE ROOT.,,Italian,italian_busk_en,,italian_harvested,1
Rosina in the Oven,,Italian,Crane,,italian_wikipedia,1
S. GIOVANNI BOCCA D’ORO.,,Italian,italian_busk_en,,italian_harvested,1
S. GIUSEPPE LABRE.1,,Italian,italian_busk_en,,italian_harvested,1
Saddaedda,366,Italy,italian_crane_en,type0366.html,catalogue_italian_ashliman|italian_harvested,2
Saint John and the Devil,1030,Italy/Austria,,type1030.html,catalogue_italian_ashliman,1
SAN SIDORO.,,Italian,italian_busk_en,,italian_harvested,1
SANTA VERDANA.,,Italian,italian_busk_en,,italian_harvested,1
THE SATYR.,,Italian,italian_busk_en,,italian_harvested,1
THE SATYRS.,,Italian,italian_busk_en,,italian_harvested,1
SCIARRA COLONNA.,,Italian,italian_busk_en,,italian_harvested,1
SCIOCCOLONE.1,,Italian,italian_busk_en,,italian_harvested,1
Scissors They Were,1365A,Italy,italian_crane_en,type1365abc.html,catalogue_italian_ashliman|italian_harvested,2
THE SECOND FABLE.,,Italian,italian_straparola_v1_en,,italian_harvested,1
The Second Fable (Night 1),,Italian,Straparola,,italian_wikipedia,1
Sennuccio and Bedovina,1351,Italy,,type1351.html,catalogue_italian_ashliman,1
The Serpent,,Italy,italian_basile_en,snake.html,catalogue_italian_ashliman|italian_harvested,2
The Seven Bits of Bacon Rind,501,Italy,,type0501.html,catalogue_italian_ashliman,1
THE SEVEN CLODHOPPERS.1,,Italian,italian_busk_en,,italian_harvested,1
The Seven Doves,451,"Italy, Giambattista Basile",Crane,type0451.html,catalogue_italian_ashliman|italian_harvested|italian_wikipedia,3
The Sexton's Nose,2032,Italy,,type2032.html,catalogue_italian_ashliman,1
THE SEXTON&#x27;S NOSE.,,Italian,italian_crane_en,,italian_harvested,1
The She-Bear,510B,"Italy, Giambattista Basile",Basile,type0510b.html,catalogue_italian_ashliman|italian_harvested|italian_wikipedia,3
The Shepherd,2250,Italy,italian_crane_en,type2250.html,catalogue_italian_ashliman|italian_harvested,2
THE SHEPHERD WHO MADE THE KING&#x27;S DAUGHTER LAUGH.,,Italian,italian_crane_en,,italian_harvested,1
Sicilianische Marchen,,Italian (Sicilian in German),Gonzenbach,,italian_wikipedia,1
SIGNOR LATTANZIO.,,Italian,italian_busk_en,,italian_harvested,1
The Simple Wife,1540,Italy,,type1540.html,catalogue_italian_ashliman,1
THE SIMPLE WIFE.1,,Italian,italian_busk_en,,italian_harvested,1
SMALLER GHOST AND TREASURE STORIES AND FAMILY AND LOCAL TRADITIONS.,,Italian,italian_busk_en,,italian_harvested,1
SNOW-WHITE-FIRE-RED.,,Italian,italian_crane_en,,italian_harvested,1
ST. ANTHONY.,,Italian,italian_busk_en,,italian_harvested,1
ST. MARGARET OF CORTONA.,,Italian,italian_busk_en,,italian_harvested,1
ST. PETER AND HIS SISTERS.,,Italian,italian_crane_en,,italian_harvested,1
ST. THEODORA.,,Italian,italian_busk_en,,italian_harvested,1
THE STONE IN THE COCK&#x27;S HEAD,,Italian,italian_basile_en,,italian_harvested,1
THE STORY OF BUTTADEU.,,Italian,italian_crane_en,,italian_harvested,1
THE STORY OF CATHERINE AND HER FATE.,,Italian,italian_crane_en,,italian_harvested,1
THE STORY OF CRIVÒLIU.,,Italian,italian_crane_en,,italian_harvested,1
The Story of Judas,777,Italy,italian_crane_en,type0777.html,catalogue_italian_ashliman|italian_harvested,2
THE STORY OF ST. JAMES OF GALICIA.,,Italian,italian_crane_en,,italian_harvested,1
THE STORY OF THE BARBER.,,Italian,italian_crane_en,,italian_harvested,1
The Story of the Ogre,563,"Italy, Giambattista Basile",,type0563.html,catalogue_italian_ashliman,1
A Storyteller of Messer Azzolino,2250,Italy,,type2250.html,catalogue_italian_ashliman,1
"SUN, MOON, AND TALIA",,Italian,italian_basile_en,,italian_harvested,1
Sun Moon and Talia (Sleeping Beauty),,Italian (Neapolitan),Basile,,italian_wikipedia,1
"Sun, Pearl, and Anna",410,Italy,Sicily,type0410.html,catalogue_italian_ashliman,1
The Sunken City,7070,Austria / Italy,,type7070.html,catalogue_italian_ashliman,1
Tarandandò,500,Italy,,type0500.html,catalogue_italian_ashliman,1
THE THIRD FABLE.,,Italian,italian_straparola_v1_en,,italian_harvested,1
The Third Fable (Night 1),,Italian,Straparola,,italian_wikipedia,1
THIRTEENTH.,,Italian,italian_crane_en,,italian_harvested,1
THE THOUGHTLESS ABBOT.,,Italian,italian_crane_en,,italian_harvested,1
The Thousand Years of Cold are Coming,,Italy/Austria,,weather.html,catalogue_italian_ashliman,1
The Three Admonitions,910B,Italy,italian_crane_en,type0910b.html,catalogue_italian_ashliman|italian_harvested,2
The Three Brothers,1965,Italy,italian_crane_en,type1965.html,catalogue_italian_ashliman|italian_harvested,2
The Three Citrons,,Italian (Neapolitan),Basile,,italian_harvested|italian_wikipedia,2
THE THREE ENCHANTED PRINCES,,Italian,italian_basile_en,,italian_harvested,1
The Three Goslings,124,Italy,italian_crane_en,type0124.html,catalogue_italian_ashliman|italian_harvested,2
The Three Love-Oranges,,Italian (Roman),Busk,,italian_wikipedia,1
THE THREE LOVE-ORANGES.1,,Italian,italian_busk_en,,italian_harvested,1
THE THREE SISTERS,,Italian,italian_basile_en,,italian_harvested,1
Time Is Up,4050,Austria/Italy,,type4050.html,catalogue_italian_ashliman,1
THE TRANSFORMATION-DONKEY.1,,Italian,italian_busk_en,,italian_harvested,1
The Treasure,2250,Italy,italian_crane_en,type2250.html,catalogue_italian_ashliman|italian_harvested,2
TRUTHFUL JOSEPH.,,Italian,italian_crane_en,,italian_harvested,1
TWELVE FEET OF NOSE.1,,Italian,italian_busk_en,,italian_harvested,1
A Twelve-Month Child,1362,"Italy, Poggio Bracciolini",,type1362.html,catalogue_italian_ashliman,1
The Twelve Words of Truth,,Italian (Roman),Busk,,italian_wikipedia,1
THE TWELVE WORDS OF TRUTH.1,,Italian,italian_busk_en,,italian_harvested,1
Two Brothers and Their Wives,901,Italy,,type0901.html,catalogue_italian_ashliman,1
THE TWO CAKES,,Italian,italian_basile_en,,italian_harvested,1
Two for One,361,Italy,,type0361.html,catalogue_italian_ashliman,1
THE TWO FRIARS.1,,Italian,italian_busk_en,,italian_harvested,1
The Two Humpbacks,503,Italy,italian_crane_en,type0503.html,catalogue_italian_ashliman|italian_harvested,2
The Two Hunchbacked Brothers,503,Italy,,type0503.html,catalogue_italian_ashliman,1
THE TWO HUNCHBACKED BROTHERS.1,,Italian,italian_busk_en,,italian_harvested,1
UNCLE CAPRIANO.,,Italian,italian_crane_en,,italian_harvested,1
VACCARELLA.1,,Italian,italian_busk_en,,italian_harvested,1
The Value of Salt,,Italy,italian_busk_en,salt.html,catalogue_italian_ashliman|italian_harvested,2
VARDIELLO,,Italian,italian_basile_en,,italian_harvested,1
VINEYARD I WAS AND VINEYARD I AM.,,Italian,italian_crane_en,,italian_harvested,1
VIOLET,,Italian,italian_basile_en,,italian_harvested,1
The Wager,1351,Italy,italian_crane_en,type1351.html,catalogue_italian_ashliman|italian_harvested,2
Water and Salt,,Italy,,salt.html,catalogue_italian_ashliman,1
WHAT HAPPENED IN THE ROOM OF A HOTEL.1,,Italian,italian_busk_en,,italian_harvested,1
When Jesus Christ Wandered on Earth,,Italian (Roman),Busk,,italian_harvested|italian_wikipedia,2
THE WHITE SERPENT.1,,Italian,italian_busk_en,,italian_harvested,1
THE WHITE SOUL.1,,Italian,italian_busk_en,,italian_harvested,1
WHY CATS AND DOGS ALWAYS QUARREL.1,,Italian,italian_busk_en,,italian_harvested,1
THE WOOING OF CASSANDRO.1,,Italian,italian_busk_en,,italian_harvested,1
A YARD OF NOSE.1,,Italian,italian_busk_en,,italian_harvested,1
The Young Slave,709,"Italy, Giambattista Basile, Il Pentamerone",,type0709.html,catalogue_italian_ashliman,1
Zelinda and the Monster,425C,Italy,Crane,type0425c.html,catalogue_italian_ashliman|italian_harvested|italian_wikipedia,3
