title,atu,culture,author,source_page,sources,n_sources
The Hyena Outwitted,50,India,,type0050.html,catalogue_indian_ashliman,1
The Hypocritical Cat,,,,,indian_harvested,1
"THE ICHNEUMON, THE MOUSE, AND THE SNAKE",,,,,indian_harvested,1
INCREDULITY PUNISHED,,,,,indian_harvested,1
The Indigent Brahman,,,,,indian_harvested,1
The Industrious Bride.,,,,,indian_harvested,1
INTRODUCTION,,,,,indian_harvested,1
The Iron Weights and Scales Which Were Eaten by Mice,1592,India,,type1592.html,catalogue_indian_ashliman,1
The Island Palace,,,,,indian_harvested,1
The Ivory City and its Fairy Princess,,,,,indian_harvested,1
The Jackal and the Camel,,,,,indian_harvested,1
The Jackal and the Chickens,175,India,,type0175.html,catalogue_indian_ashliman|indian_harvested,2
THE JACKAL AND THE CROCODILE,,,,,indian_harvested,1
The Jackal and the Crocodiles.,,,,,indian_harvested,1
The Jackal and the Crow.,,,,,indian_harvested,1
The Jackal and the Flees,63,India / Pakiston,,type0063.html,catalogue_indian_ashliman,1
THE JACKAL AND THE GUANA,,,,,indian_harvested,1
The Jackal and the Hare.,,,,,indian_harvested,1
THE JACKAL AND THE IGUANA,,,,,indian_harvested,1
The Jackal and the Kite,,,,,indian_harvested|indian_stokes,2
The Jackal and the Leopards.,,,,,indian_harvested,1
THE JACKAL AND THE PARTRIDGE,,,,,indian_harvested,1
THE JACKAL AND THE PEA-HEN,,,,,indian_harvested,1
THE JACKAL AS CALUMNIATOR,,,,,indian_harvested,1
THE JACKAL HANGED BY THE OX,,,,,indian_harvested,1
THE JACKAL IN THE ELEPHANT’S FOOTPRINTS,,,,,indian_harvested,1
The Jackal Punished.,,,,,indian_harvested,1
THE JACKAL SAVES THE LION,,,,,indian_harvested,1
The Jackal that Lost his Tail,,,,,indian_harvested,1
"THE JACKAL, THE BARBER AND THE BRAHMIN WHO HAD SEVEN DAUGHTERS.",,,,,indian_harvested,1
The Jackal Would A-Wooing Go,,,,,indian_harvested,1
