atu,topic,title,culture,author,origin_raw,source_page
425C,Beauty and the Beast,The Singing Rose,Austria,,Austria,type0425c.html
425C,Beauty and the Beast,The Bear Prince,Switzerland,,Switzerland,type0425c.html
425C,Beauty and the Beast,Beauty and the Beast,Basque,,Basque,type0425c.html
425C,Beauty and the Beast,Zelinda and the Monster,Italy,,Italy,type0425c.html
425C,Beauty and the Beast,The Snake-Prince,Greece,,Greece,type0425c.html
425C,Beauty and the Beast,The Enchanted Tsarévich,Russia,,Russia,type0425c.html
425C,Beauty and the Beast,The Fairy Serpent,China,,China,type0425c.html
425C,Beauty and the Beast,Additional tales about animal brides and bridegrooms,,,,type0425c.html
425C,Beauty and the Beast,External sites,,,,type0425c.html
207C,The Bell of Justice,"Of the Vicissitude of Everything Good, and Especially of a Right Justice",Gesta Romanorum,,Gesta Romanorum,type0207c.html
207C,The Bell of Justice,Application,,,,type0207c.html
207C,The Bell of Justice,The Emperor Charlemagne and the Serpent,Switzerland,,Switzerland,type0207c.html
207C,The Bell of Justice,The Bell of Atri,Henry Wadsworth Longfellow,,Henry Wadsworth Longfellow,type0207c.html
207C,The Bell of Justice,The Dumb Plaintiff,Germany,,Germany,type0207c.html
7070,Sunken Bells,Bomere Pool (1),Shropshire,,Shropshire,type7070.html
7070,Sunken Bells,Bomere Pool (2),Shropshire,,Shropshire,type7070.html
7070,Sunken Bells,Kentsham Bell,Herefordshire,,Herefordshire,type7070.html
7070,Sunken Bells,The Mermaid of Marden,Herefordshire,,Herefordshire,type7070.html
7070,Sunken Bells,The Bells of Forrabury Church,Cornwall,,Cornwall,type7070.html
7070,Sunken Bells,The Bosham Bell,Sussex,,Sussex,type7070.html
7070,Sunken Bells,The Whitby Abbey Bells,England,,England,type7070.html
7070,Sunken Bells,Whitby: Submarine Bells,Yorkshire,,Yorkshire,type7070.html
7070,Sunken Bells,The Buried Chime,Susan K. Phillips,,Susan K. Phillips,type7070.html
7070,Sunken Bells,A Legend of Semerwater,North Yorkshire,,North Yorkshire,type7070.html
7070,Sunken Bells,Simmerwater [Semerwater],Yorkshire,,Yorkshire,type7070.html
7070,Sunken Bells,The Bells of Brinkburn (1),Northumberland,,Northumberland,type7070.html
7070,Sunken Bells,The Bells of Brinkburn (2),Northumberland,,Northumberland,type7070.html
7070,Sunken Bells,Rostherne Mere,Cheshire,,Cheshire,type7070.html
7070,Sunken Bells,A Legend of Rostherne Mere,Egerton Leigh,,Egerton Leigh,type7070.html
7070,Sunken Bells,The Sunken City,Austria / Italy,,Austria / Italy,type7070.html
7070,Sunken Bells,The Sunken Bell in Lake Wörthersee,Austria,,Austria,type7070.html
7070,Sunken Bells,The Wishing Bell of Bled,Slovenia,,Slovenia,type7070.html
7070,Sunken Bells,The Legend of the Sunken Bell,Slovenia,,Slovenia,type7070.html
7070,Sunken Bells,The Legend of Bled Castle,Slovenia,,Slovenia,type7070.html
,Beowulf,Prologue,,,,beowulf.html
,Beowulf,Part One: Beowulf and Grendel,1,,1,beowulf.html
,Beowulf,Part Two: Grendel's Mother,19,,19,beowulf.html
,Beowulf,28-30,,,,beowulf.html
,Beowulf,Part Three: Beowulf and the Dragon,32,,32,beowulf.html
,Beowulf,34-35,,,,beowulf.html
,Beowulf,40-41,,,,beowulf.html
,Big Peter and Little Peter,Norway,,,,norway133.html
150,The Bird's Three Precepts,Of Hearing Good Counsel,Gesta Romanorum,,Gesta Romanorum,type0150.html
150,The Bird's Three Precepts,The Three Proverbs,Poland,,Poland,type0150.html
850,The Birthmarks of the Princess,The Swineherd Who Married a Princess,Europe,,Europe,type0850.html
850,The Birthmarks of the Princess,Three Little Red Pigs,Denmark,,Denmark,type0850.html
850,The Birthmarks of the Princess,The Princess's Birthmarks,Denmark,,Denmark,type0850.html
850,The Birthmarks of the Princess,The Pig-Boy and the Princess,"Germany, Wilhelm Busch",,"Germany, Wilhelm Busch",type0850.html
850,The Birthmarks of the Princess,The Nobleman's Daughter and the Shepherd,Germany,,Germany,type0850.html
850,The Birthmarks of the Princess,Three Golden Hairs,Wendish,,Wendish,type0850.html
850,The Birthmarks of the Princess,Many Things Can Be Achieved through Beautiful Clothes,Slavic,,Slavic,type0850.html
850,The Birthmarks of the Princess,The Emperor's Daughter and the Swineherd,Slavic,,Slavic,type0850.html
850,The Birthmarks of the Princess,The Shepherd and the King's Daughter,Serbia,,Serbia,type0850.html
850,The Birthmarks of the Princess,The Enchanted Lambs,Russia,,Russia,type0850.html
850,The Birthmarks of the Princess,The Youngest Prince and the Youngest Princess,Hungary,,Hungary,type0850.html
850,The Birthmarks of the Princess,The Rivals,Bukovina,,Bukovina,type0850.html
850,The Birthmarks of the Princess,Dshahan and the Three Pigs,Malta,,Malta,type0850.html
850,The Birthmarks of the Princess,The Pearl Queen,"Germany, Ludwig Bechstein",,"Germany, Ludwig Bechstein",type0850.html
850,The Birthmarks of the Princess,The Swineherd,Hans Christian Andersen,,Hans Christian Andersen,type0850.html
850,The Birthmarks of the Princess,Additional type 850 tales,"Copyrighted stories, not in the public domain",,"Copyrighted stories, not in the public domain",type0850.html
3000,The Black School,The Black School,Iceland,,Iceland,type3000.html
3000,The Black School,Black Airt,Scotland,,Scotland,type3000.html
1317,The Blind Men and the Elephant,The Blind Men and the Elephant,The Udāna,,The Udāna,type1317.html
1317,The Blind Men and the Elephant,On the Blind Men and the Affair of the Elephant,"Sanai, The Enclosed Garden of the Truth",,"Sanai, The Enclosed Garden of the Truth",type1317.html
1317,The Blind Men and the Elephant,All Faiths Lead to God: Four Blind Men and an Elephant,Ramakrishna,,Ramakrishna,type1317.html
1317,The Blind Men and the Elephant,The Blind Men and the Elephant: A Hindoo Fable,John Godfrey Saxe,,John Godfrey Saxe,type1317.html
1317,The Blind Men and the Elephant,The King and the Elephants,Leo Tolstoy,,Leo Tolstoy,type1317.html
,The Blue Light,Jacob and Wilhelm Grimm,,,,grimm116a.html
562,The Blue Light,The Blue Light,Jacob and Wilhelm Grimm,,Jacob and Wilhelm Grimm,type0562.html
562,The Blue Light,The Deserter with the Tinderbox,Austria,,Austria,type0562.html
562,The Blue Light,The Iron Man,Germany,,Germany,type0562.html
562,The Blue Light,The Three Dogs,"Germany, Georg Schambach and Wilhelm Müller",,"Germany, Georg Schambach and Wilhelm Müller",type0562.html
562,The Blue Light,The Soldier and the Tinderbox,Germany,,Germany,type0562.html
562,The Blue Light,The Giants and the Tinderbox,Germany,,Germany,type0562.html
562,The Blue Light,The Transverse Flute,Germany,,Germany,type0562.html
562,The Blue Light,The Tinderbox,"Denmark, Hans Christian Andersen",,"Denmark, Hans Christian Andersen",type0562.html
562,The Blue Light,"Lars, My Lad!","Sweden, G. Djurklo",,"Sweden, G. Djurklo",type0562.html
562,The Blue Light,Sir Buzz,India,,India,type0562.html
312,Bluebeard,Bluebeard,Charles Perrault,,Charles Perrault,type0312.html
312,Bluebeard,Bluebeard: A Legend from Auvergne (Cantal),France,,France,type0312.html
312,Bluebeard,King Bluebeard,Germany,,Germany,type0312.html
312,Bluebeard,Knight Goldbeard,Switzerland,,Switzerland,type0312.html
312,Bluebeard,Don Firriulieddu,Italy,,Italy,type0312.html
312,Bluebeard,The Little Boy and His Dogs,"African American, Joel Chandler Harris",,"African American, Joel Chandler Harris",type0312.html
312,Bluebeard,Blue-Beard,"North Carolina, USA",,"North Carolina, USA",type0312.html
312,Bluebeard,The Chosen Suitor,"Antigua, British West Indies",,"Antigua, British West Indies",type0312.html
